Taxon,Photo_vars,Dark,Light,Difference,Ratio
Colpomenia,AQY,0.20756945615363004,0.12277215728821844,-0.0847972988654116,0.5914750636401441
Colpomenia,Am,33.959858288219266,16.82788367770229,-17.131974610516977,0.495522788548853
Colpomenia,Ik,163.60720366817498,137.06596063305585,-26.541243035119123,0.8377746062517543
Colpomenia,Rd,-0.3445487841940175,-0.1357501429366433,0.2087986412573742,0.3939939688198162
Dictyota,AQY,0.30793685261975484,0.13907729339126626,-0.16885955922848858,0.4516422513514517
Dictyota,Am,12.813058011235425,31.168824304625666,18.35576629339024,2.4325827821348005
Dictyota,Ik,41.6093686164195,224.11152492692239,182.50215631050287,5.386083287946974
Dictyota,Rd,0.2515197486294395,0.05402862991041361,-0.1974911187190259,0.2148086987396494
Galaxaura,AQY,0.13450386553943258,0.12237618670858837,-0.012127678830844216,0.9098339755351587
Galaxaura,Am,16.854695441991822,7.948464527592728,-8.906230914399094,0.4715875498877249
Galaxaura,Ik,125.31011933668569,64.95107211111444,-60.359047225571246,0.5183226418977595
Galaxaura,Rd,-0.42766663643660696,-0.12072957060305047,0.3069370658335565,0.2822983144277756
Jania,AQY,0.06790291023721919,0.12413838380167348,0.0562354735644543,1.8281747184030164
Jania,Am,8.78277570097691,33.25312041285255,24.470344711875644,3.786174387802458
Jania,Ik,129.34314111566403,267.8713818763627,138.52824076069868,2.0710134265010693
Jania,Rd,-0.144030700011949,-0.3920768993558163,-0.2480461993438673,2.7221758925235315
Padina,AQY,0.21504997679979856,0.18411829684663797,-0.030931679953160596,0.8561651555909884
Padina,Am,40.56900395693889,47.081945217302724,6.5129412603638315,1.1605398364543742
Padina,Ik,188.64919011224416,255.71573289383514,67.06654278159098,1.35550930667493
Padina,Rd,0.08664307268192513,-0.5567597709573617,-0.6434028436392869,-6.4259005795106
Sargassum,AQY,0.24099639580348828,0.1529830649094928,-0.08801333089399549,0.6347939951526795
Sargassum,Am,5.981629981750924,30.125513636065914,24.14388365431499,5.03633854450617
Sargassum,Ik,24.820412611599494,196.92057845676348,172.10016584516399,7.933815667703092
Sargassum,Rd,0.017500645987538574,-0.6701293562617382,-0.6876300022492767,-38.29169258888542
Ulva,AQY,0.14464386295919798,0.09861434920923573,-0.04602951374996225,0.6817734758442774
Ulva,Am,17.599816903266383,17.731237797921064,0.13142089465468132,1.0074671739698775
Ulva,Ik,121.67690037586348,179.8038311878901,58.126930812026615,1.4777154137923536
Ulva,Rd,0.23767496794765167,-0.08535934632445662,-0.32303431427210827,-0.35914319064200806
